States / Union Territories,All Categories - Classes I-V - Boys,All Categories - Classes I-V - Girls,All Categories - Classes I-V - Total,All Categories - Classes I-VIII - Boys,All Categories - Classes I-VIII - Girls,All Categories - Classes I-VIII - Total,All Categories - Classes I-X - Boys,All Categories - Classes I-X - Girls,All Categories - Classes I-X - Total,Scheduled Caste - Classes I-V - Boys,Scheduled Caste - Classes I-V - Girls,Scheduled Caste - Classes I-V - Total,Scheduled Caste - Classes I-VIII - Boys,Scheduled Caste - Classes I-VIII - Girls,Scheduled Caste - Classes I-VIII - Total,Scheduled Caste - Classes I-X - Boys,Scheduled Caste - Classes I-X - Girls,Scheduled Caste - Classes I-X - Total,Scheduled Tribe - Classes I-V - Boys,Scheduled Tribe - Classes I-V - Girls,Scheduled Tribe - Classes I-V - Total,Scheduled Tribe - Classes I-VIII - Boys,Scheduled Tribe - Classes I-VIII - Girls,Scheduled Tribe - Classes I-VIII - Total,Scheduled Tribe - Classes I-X - Boys,Scheduled Tribe - Classes I-X - Girls,Scheduled Tribe - Classes I-X - Total
Andhra Pradesh,18.1,16.7,17.4,33.0,32.7,32.9,45.8,46.6,46.2,20.2,19.0,19.6,36.1,35.6,35.9,49.7,49.7,49.7,35.5,38.2,36.8,60.5,64.5,62.5,71.6,73.8,72.7
Arunachal Pradesh,43.8,42.1,43.0,51.7,49.1,50.5,62.3,61.0,61.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.6,42.7,43.7,54.4,48.4,51.6,63.6,63.3,63.5
Assam,33.2,26.4,29.9,49.8,58.2,54.0,76.8,78.1,77.4,28.8,23.4,26.2,39.4,48.8,44.0,0.0,0.0,0.0,26.8,24.5,25.7,49.7,57.1,53.4,0.0,0.0,0.0
Bihar,39.2,30.7,35.7,58.5,58.0,58.3,64.4,58.9,62.2,40.9,35.9,38.8,64.0,58.6,61.9,79.8,79.9,79.8,31.6,19.8,27.1,59.1,47.0,54.8,72.2,69.0,71.1
Chhattisgarh,29.7,32.2,31.0,47.7,49.0,48.3,58.4,57.5,58.0,42.3,47.0,44.7,50.3,46.9,48.7,57.6,60.5,59.0,38.4,42.1,40.3,45.4,49.5,47.4,63.3,62.0,62.7
Goa,0.0,2.4,0.0,0.0,0.0,0.0,29.3,26.9,28.1,9.8,20.9,15.1,0.0,0.0,0.0,53.4,46.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat,36.9,6.6,25.7,44.6,49.4,46.7,61.1,52.4,57.9,47.4,42.7,45.2,47.9,58.5,52.9,60.4,69.3,64.5,50.9,44.6,48.0,69.4,71.2,70.2,79.7,75.2,77.6
Haryana,9.8,8.9,9.4,5.3,3.9,4.6,13.2,7.1,10.4,3.4,0.9,2.2,15.3,10.4,13.0,21.9,22.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,3.9,3.6,3.8,0.0,0.0,0.0,15.2,17.0,16.0,6.8,7.8,7.3,6.2,10.5,8.3,32.1,33.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.1,2.1
Jammu and Kashmir,9.8,6.8,8.4,7.8,4.0,6.1,47.1,38.9,43.6,0.0,0.0,0.0,16.6,2.7,10.0,0.0,0.0,0.0,27.9,31.9,29.8,58.5,68.0,62.7,0.0,0.0,0.0
Jharkhand,31.0,25.6,28.4,48.4,41.2,45.1,70.6,68.1,69.5,42.0,39.0,40.6,44.5,35.8,40.8,73.7,70.2,72.3,39.6,35.0,37.5,60.5,49.4,55.8,80.8,78.5,79.8
Karnataka,9.2,8.5,8.9,20.1,21.5,20.8,44.5,42.1,43.3,14.4,14.3,14.3,28.0,31.8,29.9,54.1,57.1,55.6,6.9,6.9,6.9,24.2,29.7,26.9,47.5,48.3,47.9
Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.9,6.2,0.0,0.0,0.0,9.1,8.5,8.8,31.2,27.1,29.1
Madhya Pradesh,33.5,25.0,29.5,34.0,27.0,30.7,44.3,59.3,51.1,32.9,24.5,28.9,19.5,14.6,17.1,32.1,57.2,43.2,40.6,33.3,37.1,38.6,33.4,36.1,58.7,71.9,64.6
Maharashtra,21.4,19.0,20.3,24.5,27.4,25.9,36.5,40.0,38.2,24.9,20.2,22.7,21.7,24.2,22.9,35.3,41.5,38.3,23.7,17.9,21.1,42.3,46.8,44.4,65.7,74.5,69.8
Manipur,46.1,45.3,45.7,51.7,53.9,52.8,45.7,44.8,45.3,29.6,28.9,29.3,51.4,41.8,46.8,0.0,0.0,0.0,47.5,55.4,51.3,74.3,75.7,75.0,0.0,0.0,0.0
Meghalaya,61.0,55.7,58.4,72.5,68.3,70.4,78.0,76.7,77.4,15.5,20.2,17.7,69.4,72.2,70.8,76.2,80.4,78.3,57.5,51.5,54.6,75.7,72.0,73.8,81.3,77.8,79.6
Mizoram,37.1,38.7,37.9,37.5,35.7,36.7,55.0,52.3,53.7,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,37.6,39.2,38.4,38.2,36.5,37.4,55.5,52.6,54.1
Nagaland,40.1,39.8,39.9,45.2,45.6,45.4,75.8,74.4,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,39.0,39.8,43.4,38.4,41.1,70.3,66.5,68.5
Odisha,11.0,2.4,7.0,54.4,55.6,55.0,67.2,59.7,64.0,16.6,14.8,15.7,58.3,59.8,59.0,77.7,71.4,75.1,25.2,18.6,22.1,74.0,75.3,74.6,86.4,84.5,85.6
Punjab,4.4,14.9,9.4,5.2,13.7,9.2,30.2,30.7,30.5,21.7,23.0,22.3,0.0,0.0,0.0,57.3,54.0,55.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
